0.15811,0.29538,0.29756,0.14986,0.073927,0.025167
0.18509,0.28828,0.28603,0.14917,0.072251,0.019169
0.18775,0.26874,0.27342,0.1626,0.078628,0.02887
0.23836,0.33024,0.25055,0.12113,0.055345,0.0043725
0.18805,0.26809,0.27338,0.16718,0.078288,0.02501
0.16455,0.28552,0.29529,0.15661,0.071348,0.02668
0.17063,0.30494,0.30006,0.1453,0.061269,0.017806
0.16752,0.28821,0.28485,0.15255,0.075968,0.030895
0.16759,0.29869,0.29422,0.14881,0.069964,0.020727
0.212,0.27719,0.26272,0.15335,0.071858,0.022884
0.17878,0.28634,0.28942,0.15561,0.070021,0.019846
0.19438,0.3103,0.28182,0.13974,0.058562,0.01519
0.20161,0.3144,0.27952,0.14135,0.050694,0.01243
0.16454,0.26144,0.28536,0.16336,0.088581,0.036719
0.20616,0.28808,0.26874,0.15003,0.070115,0.016883
0.21411,0.33458,0.2674,0.12229,0.054403,0.0072257
0.16674,0.30195,0.29812,0.14724,0.068337,0.017604
0.23473,0.32611,0.25827,0.1243,0.05152,0.0050735
0.18076,0.30476,0.28152,0.14806,0.070255,0.014658
0.19641,0.28053,0.27304,0.15461,0.071742,0.023665
