0.14821,0.30518,0.30596,0.14696,0.068627,0.025167
0.17519,0.29808,0.29443,0.14627,0.066951,0.019169
0.17785,0.27854,0.28182,0.1597,0.073328,0.02887
0.22846,0.34004,0.25895,0.11823,0.050045,0.0043725
0.17815,0.27789,0.28178,0.16428,0.072988,0.02501
0.15465,0.29532,0.30369,0.15371,0.066048,0.02668
0.16073,0.31474,0.30846,0.1424,0.055969,0.017806
0.15762,0.29801,0.29325,0.14965,0.070668,0.030895
0.15769,0.30849,0.30262,0.14591,0.064664,0.020727
0.2021,0.28699,0.27112,0.15045,0.066558,0.022884
0.16888,0.29614,0.29782,0.15271,0.064721,0.019846
0.18448,0.3201,0.29022,0.13684,0.053262,0.01519
0.19171,0.3242,0.28792,0.13845,0.045394,0.01243
0.15464,0.27124,0.29376,0.16046,0.083281,0.036719
0.19626,0.29788,0.27714,0.14713,0.064815,0.016883
0.20421,0.34438,0.2758,0.11939,0.049103,0.0072257
0.15684,0.31175,0.30652,0.14434,0.063037,0.017604
0.22483,0.33591,0.26667,0.1214,0.04622,0.0050735
0.17086,0.31456,0.28992,0.14516,0.064955,0.014658
0.18651,0.29033,0.28144,0.15171,0.066442,0.023665
